rut;name;last_name;email;phone;channel;date;user
256104059;Marcela;Godoy;marcela.godoy@yandex.com;56996878842;Call Center;09-08-2023;AC2
133719334;Rosa;Flores;rosa.flores@tutamail.jp;56928655341;Call Center;25-07-2023;AC1
112629254;Teresa;Ojeda;teresa.ojeda@mail.com;56978107973;Call Center;10-01-2023;AC3
246674590;Carolina;Romero;carolina.romero@tutamail.uk;56986863601;Call Center;15-05-2023;AC1
238206529;Marcela;Vera;marcela.vera@tutamail.hk;56918786658;Call Center;25-08-2023;AC1
188330878;Javiera;Moreno;javiera.moreno@tutamail.mx;56908623903;Call Center;10-10-2023;AC2
241288307;Rosa;Vargas;rosa.vargas@hotmail.com;56925291026;Email;01-05-2024;AC3
171020794;Cristian;Peralta;cristian.peralta@tuta.io;56930854409;Web;18-06-2023;AC1
149673385;Teresa;Vidal;teresa.vidal@tutamail.be;56993769522;Web;10-04-2024;JC
130440320;Raul;Vazquez;raul.vazquez@msn.com;56935411207;Email;07-10-2022;AC3
235668084;Pamela;Ferreyra;pamela.ferreyra@tutamail.jp;56978105196;Call Center;01-11-2022;AC2
138700348;Javiera;Silva;javiera.silva@hotmail.com;56958977841;Call Center;18-11-2023;AC2
155418834;Carmen;Vera;carmen.vera@tuta.io;56921492009;Web;07-07-2022;AC3
190087115;Monica;Molina;monica.molina@live.com;56916439422;Email;31-07-2023;AC3
165815963;Constanza;Hernandez;constanza.hernandez@tutamail.cz;56968728441;Web;20-11-2022;AC1
122260941;Felipe;Flores;felipe.flores@tutamail.pl;56979881376;Call Center;02-09-2023;JC
212558443;Claudio;Campos;claudio.campos@tutamail.co;56969635929;Web;19-06-2022;AC2
199669656;Andrea;Ferreyra;andrea.ferreyra@tutamail.in;56932246342;Call Center;06-07-2022;JC
14110067K;Margarita;Ferreyra;margarita.ferreyra@tutamail.nl;56901891225;Web;16-12-2022;AC2
247444246;Ricardo;Godoy;ricardo.godoy@tuta.io;56973727251;Web;22-03-2024;JC
130143008;Natalia;Molina;natalia.molina@tutamail.tw;56906169702;Web;20-01-2024;AC2
157506846;Gabriela;Fernandez;gabriela.fernandez@tutamail.tr;56975647010;Call Center;26-10-2023;JC
210278850;Paula;Arias;paula.arias@tutamail.nz;56999881901;Call Center;31-08-2022;AC1
199644300;Rocio;Vera;rocio.vera@tutamail.pt;56950284275;Call Center;07-04-2023;AC3
237424646;Margarita;Paez;margarita.paez@hotmail.com;56969152767;Email;01-09-2023;AC2
224156545;Natalia;Lopez;natalia.lopez@tutamail.tw;56958175822;Web;12-02-2023;JC
241407527;Valentina;Moreno;valentina.moreno@tutamail.pt;56958149735;Email;19-07-2022;AC1
252053794;Sergio;Fernandez;sergio.fernandez@yandex.com;56910997182;Email;01-03-2024;AC1
200327101;Raul;Acosta;raul.acosta@tutamail.es;56935178313;Web;27-02-2023;AC2
14386491K;Daniela;Ferreyra;daniela.ferreyra@tutamail.ca;56906632697;Call Center;25-01-2023;JC
100983265;Monica;Vidal;monica.vidal@tutamail.ru;56910778332;Call Center;06-09-2022;JC
16682446K;Javiera;Vidal;javiera.vidal@aol.com;56964880636;Call Center;04-10-2023;AC2
146656609;Paula;Campos;paula.campos@tutamail.cz;56996083297;Call Center;22-02-2023;AC1
222720516;Raul;Ojeda;raul.ojeda@tutamail.mx;56920237555;Call Center;01-04-2024;AC1
170230655;Patricia;Nunez;patricia.nunez@tutamail.ar;56989761931;Email;11-09-2023;JC
144563522;Daniela;Ferreyra;daniela.ferreyra@tutamail.it;56936903104;Web;29-04-2024;AC3
227137207;Andrea;Arias;andrea.arias@msn.com;56970716961;Web;15-01-2024;AC3
220413519;Juan;Sanchez;juan.sanchez@yandex.com;56966145698;Call Center;07-07-2022;AC3
176874996;Sebastian;Castro;sebastian.castro@tutamail.hk;56928871151;Email;29-09-2022;AC2
192251672;Patricia;Castro;patricia.castro@tutamail.cn;56947472223;Email;14-01-2023;JC
211742445;Natalia;Campos;natalia.campos@tutamail.co;56978280232;Call Center;02-06-2022;JC
24256796K;Patricia;Luna;patricia.luna@tutamail.nz;56920419917;Web;27-02-2024;AC2
196623698;Diego;Campos;diego.campos@tutamail.hu;56946970259;Web;16-04-2024;JC
14341647K;Sergio;Caceres;sergio.caceres@tutamail.tw;56952404558;Web;07-07-2023;AC2
242818032;Florencia;Romero;florencia.romero@gmx.com;56951983921;Web;26-02-2023;AC3
254616591;Carmen;Rios;carmen.rios@msn.com;56921112610;Web;14-11-2023;AC1
23370542K;Rocio;Nunez;rocio.nunez@tutamail.bg;56951690503;Call Center;26-02-2024;AC3
224051409;Margarita;Ferreyra;margarita.ferreyra@tutamail.hk;56972995047;Email;04-08-2022;AC3
176454431;Margarita;Romero;margarita.romero@tutamail.com;56955481017;Email;23-07-2023;JC
250829760;Rocio;Ojeda;rocio.ojeda@gmail.com;56968926021;Web;21-06-2023;JC
150825296;Claudia;Cordoba;claudia.cordoba@yandex.com;56900816108;Call Center;09-08-2023;AC2
138366693;Valentina;Ferreyra;valentina.ferreyra@tutamail.it;56941416151;Email;15-03-2023;JC
128825762;Diego;Cardozo;diego.cardozo@zoho.com;56973703113;Call Center;25-09-2023;AC2
230368856;Antonia;Lopez;antonia.lopez@tutamail.pl;56941194674;Email;13-03-2024;AC2
223992781;Alvaro;Arias;alvaro.arias@tutamail.ru;56945031549;Email;04-12-2022;AC1
136535021;Gabriela;Castro;gabriela.castro@gmail.com;56974709651;Web;01-06-2023;JC
186038304;Rodrigo;Arias;rodrigo.arias@tutamail.cl;56945801233;Web;16-05-2023;AC2
109612774;Rocio;Hernandez;rocio.hernandez@yahoo.com;56986916745;Call Center;02-11-2023;AC2
155551887;Javiera;Vargas;javiera.vargas@tutamail.in;56934224735;Email;03-06-2022;AC3
182035610;Valentina;Castro;valentina.castro@tutanota.com;56906683535;Web;23-12-2023;AC2
113799560;Elena;Torres;elena.torres@gmail.com;56962723864;Web;06-03-2023;AC2
114394874;Manuel;Figueroa;manuel.figueroa@tutamail.at;56976019545;Email;09-05-2024;AC3
247378634;Paula;Vazquez;paula.vazquez@tutamail.gr;56953818293;Email;27-08-2022;JC
212771058;Laura;Castro;laura.castro@tutamail.eu;56918426520;Call Center;02-03-2024;AC3
140052973;Florencia;Coronel;florencia.coronel@icloud.com;56976023591;Web;02-09-2022;AC3
199947540;Carmen;Garcia;carmen.garcia@tutamail.mx;56904163112;Email;30-04-2024;AC3
174430462;Claudio;Molina;claudio.molina@tutamail.tw;56906599648;Call Center;17-10-2022;AC1
222788013;Mauricio;Carrizo;mauricio.carrizo@inbox.com;56933075863;Call Center;09-12-2022;AC1
139485939;Isabel;Nunez;isabel.nunez@tutamail.in;56995485463;Call Center;03-09-2022;AC3
139410394;Roberto;Figueroa;roberto.figueroa@mail.com;56918747810;Web;20-11-2023;AC1
173771061;Sofia;Cordoba;sofia.cordoba@tutamail.net;56914875159;Call Center;26-07-2023;AC2
103147166;Gabriela;Carrizo;gabriela.carrizo@tutamail.at;56989900022;Call Center;26-09-2022;AC3
164001954;Loreto;Ferreyra;loreto.ferreyra@tutamail.nz;56957876100;Call Center;12-10-2023;JC
181606363;Rocio;Gimenez;rocio.gimenez@tutamail.gr;56921757574;Web;19-02-2024;JC
159509982;Monica;Vera;monica.vera@tutamail.bg;56935301146;Call Center;23-05-2024;AC3
256092417;Catalina;Hernandez;catalina.hernandez@tutamail.co;56924694827;Email;11-07-2022;AC2
184516527;Florencia;Hernandez;florencia.hernandez@tutamail.in;56968191189;Call Center;26-06-2022;AC1
227048891;Sebastian;Acosta;sebastian.acosta@yahoo.com;56995539578;Call Center;20-11-2023;AC3
215222373;Marcela;Navarro;marcela.navarro@yopmail.com;56919830573;Email;19-11-2023;AC2
206708026;Maria;Caceres;maria.caceres@tutamail.mx;56965486303;Web;24-06-2023;AC1
120902784;Natalia;Torres;natalia.torres@tutamail.hu;56987760234;Email;23-01-2023;JC
239995047;Hernan;Cordoba;hernan.cordoba@tutamail.uk;56990540190;Web;17-10-2023;AC3
171636051;Natalia;Moreno;natalia.moreno@hotmail.com;56966287174;Web;27-10-2022;JC
149351132;Sebastian;Garcia;sebastian.garcia@yahoo.com;56967556984;Web;19-12-2023;AC1
210998322;Manuel;Ferreyra;manuel.ferreyra@tutamail.mx;56934730110;Email;07-05-2024;AC3
116525836;Sergio;Rojas;sergio.rojas@tutamail.tw;56972515522;Web;15-01-2024;JC
214648881;Fernando;Carrizo;fernando.carrizo@tutamail.be;56998615030;Call Center;12-05-2023;JC
130949975;Roberto;Moreno;roberto.moreno@tutamail.at;56959520731;Call Center;23-07-2022;AC2
180294600;Paula;Campos;paula.campos@tutamail.com;56937524703;Web;17-09-2022;AC1
11133269K;Fernanda;Carrizo;fernanda.carrizo@tutamail.co;56903213537;Email;15-12-2022;AC2
14668257K;Javiera;Fernandez;javiera.fernandez@tutamail.org;56913169070;Email;01-06-2022;AC3
196018263;Carmen;Luna;carmen.luna@gmail.com;56960735322;Email;18-05-2024;AC2
211734132;Monica;Vega;monica.vega@tutamail.pl;56963083529;Web;27-08-2022;AC3
127494525;Rocio;Ponce;rocio.ponce@tutamail.ch;56901668777;Call Center;29-02-2024;AC2
151460852;Antonia;Ferreyra;antonia.ferreyra@yopmail.com;56921287623;Web;03-06-2023;AC2
